"","AbsOrder","SeaNum","EpiNum","EpiTitle","AirDate","WritBy","DirBy","EpiPlot","imdbRating","imdbVotes","EpiLength"
"1",1,"1","1","The Gang Gets Racist","04 Aug 2005","Charlie Day, Rob McElhenney","John Fortenberry","The guys hire Dee's friend as a promoter for the bar and get more than they bargained for. Charlie seeks black friends to prove he isn't a racist.","8.6","1058","22 min"
"2",2,"1","2","Charlie Wants an Abortion","11 Aug 2005","Charlie Day, Rob McElhenney","John Fortenberry","In this take on the abortion debate Dennis and Mac go to opposite sides of an abortion rally to pick up women while Charlie deals with an unruly kid he believes to be his son.","8.7","917","22 min"
"3",3,"1","3","Underage Drinking: A National Concern","16 Aug 2005","Charlie Day (story), Rob McElhenney (story), Rob McElhenney","Daniel Attias","The gang turns Paddy's into a safe haven for teens, but things get weird when they all get asked to the local high school prom.","8.7","925","22 min"
"4",4,"1","4","Charlie Has Cancer","23 Aug 2005","Rob McElhenney","Rob McElhenney","When Charlie confidentially confides that he has cancer, it leads to a series of instances of the guys manipulating women and one gorgeous transsexual (not a transvestite).","8.5","858","22 min"
"5",5,"1","5","Gun Fever","30 Aug 2005","Glenn Howerton (story), Rob McElhenney (story), Glenn Howerton","Daniel Attias","When Paddy's gets robbed, the gang decides to purchase a gun with many issues. At the same time Dee is dating a mysterious man which the gang suspects to be the robber.","8.5","760","21 min"
"6",6,"1","6","The Gang Finds a Dead Guy","06 Sep 2005","Charlie Day (story), Glenn Howerton (story), Rob McElhenney (story), Rob McElhenney","Daniel Attias","A guy dies in Paddy's pub. Dennis and Mac use the guy's death as an excuse to get close to the guy's attractive granddaughter. Meanwhile, Charlie discovers that Dennis and Dee's grandfather was a Nazi.","8.6","765","22 min"
"7",7,"1","7","Charlie Got Molested","13 Sep 2005","Charlie Day (story), Rob McElhenney (story), Rob McElhenney","John Fortenberry","The gang learns that Charlie's former elementary school teacher is on trial for child molestation and they attempt to stage an intervention to get Charlie to admit that he was.","8.8","822","19 min"
"8",8,"2","1","Charlie Gets Crippled","29 Jun 2006","Charlie Day (story), Glenn Howerton (story), Rob McElhenney (story), Rob McElhenney","Rob McElhenney","The gang discovers the perks of being handicapped when Charlie becomes wheel-chair bound after an accident. Dennis and Dee's estranged father returns.","8.8","813","23 min"
"9",9,"2","2","The Gang Goes Jihad","29 Jun 2006","Charlie Day (story), Glenn Howerton (story), Rob McElhenney (story), Rob McElhenney","Daniel Attias","When half of Paddy's gets bought out by a business developer, the gang seeks revenge. Unfortunately, an ill-timed dog-napping plot, a poorly made video tape, and a flaming bag of poop threaten the gang's chances of getting their property back.","8.8","801","23 min"
"10",10,"2","3","Dennis and Dee Go on Welfare","06 Jul 2006","Charlie Day (story), Glenn Howerton (story), Rob McElhenney (story), Rob McElhenney","Daniel Attias","Dennis and Dee quit their jobs and concoct a plan to get welfare benefits so they can pursue their unrealistic goals and dreams.","9.1","938","22 min"
"11",11,"2","4","Mac Bangs Dennis' Mom","06 Jul 2006","Charlie Day, Glenn Howerton","Daniel Attias","Tensions run high in the gang when Mac courts Dennis and Dee's mom and the two organize a stakeout to blackmail Frank and get out of ""Charlie work"".","9.3","935","24 min"
"12",12,"2","5","Hundred Dollar Baby","13 Jul 2006","Charlie Day, Glenn Howerton, Rob McElhenney","Daniel Attias","Inspired by the movie ""Million Dollar Baby"", Frank teaches Dee to inflict punishment while Dennis and Mac teach Charlie to take punishment. But both fighting careers are derailed by the use of ""performance enhancing supplements"".","9.0","854","23 min"
"13",13,"2","6","The Gang Gives Back","20 Jul 2006","Charlie Day","Daniel Attias","After being arrested for arson, Charlie is sentenced to community service and required to attend AA. Here he makes a discovery that could assist him in his ongoing effort to connect with the Waitress.","8.8","727","23 min"
"14",14,"2","7","The Gang Exploits a Miracle","27 Jul 2006","Charlie Day, Eric Falconer, Chris Romano","Daniel Attias","Frank tries to cavort the holy crowd when Mac discovers a water stain on Paddy's wall that closely resembles the Virgin Mary.","8.2","634","23 min"
"15",15,"2","8","The Gang Runs for Office","03 Aug 2006","David Hornsby","Daniel Attias","When the gang discovers that if you run for office that people will pay you to quit. So of course, the gang exploits this and so Dennis runs for office. While at the same time Frank and Charlie tries to stop this, which ends up in a feud.","8.3","631","24 min"
"16",16,"2","9","Charlie Goes America All Over Everybody's Ass","10 Aug 2006","Charlie Day, Rob McElhenney","Daniel Attias","To prove their patriotism, Charlie and Dee try to upstage the local anti-smoking group, while Dennis and Mac turn Paddy's into a bastion of true freedom. But when Frank takes things too far...","8.8","692","22 min"
"17",17,"2","10","Dennis and Dee Get a New Dad","17 Aug 2006","Charlie Day (story), Rob McElhenney (story), Rob McElhenney","Daniel Attias","When Dennis and Dee discover their mother has lied to them about Frank being their dad, they get to know their real father. Meanwhile, Mac and Charlie attempt to impress Mac's imprisoned father by becoming hardened criminals.","8.8","652","24 min"
"18",18,"3","1","The Gang Finds a Dumpster Baby","13 Sep 2007","Charlie Day, Rob McElhenney","Jerry Levine","Mac and Dee decide to raise a baby they find in the dumpster. Dennis talks some trash while going green and befriending radical environmentalist groups, while Charlie and Frank go dumpster-diving.","8.8","698","22 min"
"19",19,"3","2","The Gang Gets Invincible","13 Sep 2007","Charlie Day, David Hornsby, Glenn Howerton","Fred Savage","Dennis, Mac, and Dee take part in the Philadelphia Eagles' open tryouts, while Frank drops acid and freaks out when he and Charlie tailgate next to the McPoyles.","9.0","764","22 min"
"20",20,"3","3","Dennis and Dee's Mom Is Dead","20 Sep 2007","David Hornsby, Rob McElhenney","Matt Shakman","After Dennis and Dee's gold-digging mother dies from a botched plastic-surgery operation, Dee and Frank scheme to get their name in the will, while Dennis inherits the house and makes plans for a party mansion.","8.6","614","30 min"
"21",21,"3","4","The Gang Gets Held Hostage","20 Sep 2007","Rob McElhenney (teleplay), Lisa Parsons (story)","Fred Savage","Charlie, Mac, Dennis and Dee are held hostage in the bar by a revenge-seeking Liam McPoyle along with his dim-witted brother, Ryan, and his ugly, deaf and dumb cousin, Margaret, who subject...","9.0","802","30 min"
"22",22,"3","5","The Aluminum Monster vs. Fatty Magoo","27 Sep 2007","Charlie Day, Glenn Howerton","Fred Savage","Dee discovers that her old high school friend ""Fatty McGoo,"" the only girl in school who was a bigger loser than she was, is now a successful fashion designer. She and Dennis compete to ...","8.3","622","22 min"
